"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Meeting Organizer","Required Attendees","Optional Attendees","Meeting Resources","Billing Information","Categories","Description","Location","Mileage","Priority","Private","Sensitivity","Show time as"
"Alternate Side Parking Suspended","12/25/2012","12:00:00 AM","12/25/2012","12:00:00 AM","True","False","12/24/2012","11:45:00 PM"
"Alternate Side Parking Suspended","12/8/2012","12:00:00 AM","12/8/2012","12:00:00 AM","True","False","12/7/2012","11:45:00 PM"
"Alternate Side Parking Suspended","11/13/2012","12:00:00 AM","11/13/2012","12:00:00 AM","True","False","11/12/2012","11:45:00 PM"
"Alternate Side Parking Suspended","11/22/2012","12:00:00 AM","11/22/2012","12:00:00 AM","True","False","11/21/2012","11:45:00 PM"
"Alternate Side Parking Suspended","11/12/2012","12:00:00 AM","11/12/2012","12:00:00 AM","True","False","11/11/2012","11:45:00 PM"
"Alternate Side Parking Suspended","11/1/2012","12:00:00 AM","11/1/2012","12:00:00 AM","True","False","10/31/2012","11:45:00 PM"
"Alternate Side Parking Suspended","11/6/2012","12:00:00 AM","11/6/2012","12:00:00 AM","True","False","11/5/2012","11:45:00 PM"
"Alternate Side Parking Suspended","10/28/2012","12:00:00 AM","10/28/2012","12:00:00 AM","True","False","10/27/2012","11:45:00 PM"
"Alternate Side Parking Suspended","10/27/2012","12:00:00 AM","10/27/2012","12:00:00 AM","True","False","10/26/2012","11:45:00 PM"
"Alternate Side Parking Suspended","10/26/2012","12:00:00 AM","10/26/2012","12:00:00 AM","True","False","10/25/2012","11:45:00 PM"
"Alternate Side Parking Suspended","10/9/2012","12:00:00 AM","10/9/2012","12:00:00 AM","True","False","10/8/2012","11:45:00 PM"
"Alternate Side Parking Suspended","10/2/2012","12:00:00 AM","10/2/2012","12:00:00 AM","True","False","10/1/2012","11:45:00 PM"
"Alternate Side Parking Suspended","10/8/2012","12:00:00 AM","10/8/2012","12:00:00 AM","True","False","10/7/2012","11:45:00 PM"
"Alternate Side Parking Suspended","10/1/2012","12:00:00 AM","10/1/2012","12:00:00 AM","True","False","9/30/2012","11:45:00 PM"
"Alternate Side Parking Suspended","9/26/2012","12:00:00 AM","9/26/2012","12:00:00 AM","True","False","9/25/2012","11:45:00 PM"
"Alternate Side Parking Suspended","9/17/2012","12:00:00 AM","9/17/2012","12:00:00 AM","True","False","9/16/2012","11:45:00 PM"
"Alternate Side Parking Suspended","9/18/2012","12:00:00 AM","9/18/2012","12:00:00 AM","True","False","9/17/2012","11:45:00 PM"
"Alternate Side Parking Suspended","9/3/2012","12:00:00 AM","9/3/2012","12:00:00 AM","True","False","9/2/2012","11:45:00 PM"
"Alternate Side Parking Suspended","8/21/2012","12:00:00 AM","8/21/2012","12:00:00 AM","True","False","8/20/2012","11:45:00 PM"
"Alternate Side Parking Suspended","8/19/2012","12:00:00 AM","8/19/2012","12:00:00 AM","True","False","8/18/2012","11:45:00 PM"
"Alternate Side Parking Suspended","8/20/2012","12:00:00 AM","8/20/2012","12:00:00 AM","True","False","8/19/2012","11:45:00 PM"
"Alternate Side Parking Suspended","8/15/2012","12:00:00 AM","8/15/2012","12:00:00 AM","True","False","8/14/2012","11:45:00 PM"
"Alternate Side Parking Suspended","7/4/2012","12:00:00 AM","7/4/2012","12:00:00 AM","True","False","7/3/2012","11:45:00 PM"
"Alternate Side Parking Suspended","5/27/2012","12:00:00 AM","5/27/2012","12:00:00 AM","True","False","5/26/2012","11:45:00 PM"
"Alternate Side Parking Suspended","5/28/2012","12:00:00 AM","5/28/2012","12:00:00 AM","True","False","5/27/2012","11:45:00 PM"
"Alternate Side Parking Suspended","5/17/2012","12:00:00 AM","5/17/2012","12:00:00 AM","True","False","5/16/2012","11:45:00 PM"
"Alternate Side Parking Suspended","4/14/2012","12:00:00 AM","4/14/2012","12:00:00 AM","True","False","4/13/2012","11:45:00 PM"
"Alternate Side Parking Suspended","4/13/2012","12:00:00 AM","4/13/2012","12:00:00 AM","True","False","4/12/2012","11:45:00 PM"
"Alternate Side Parking Suspended","4/7/2012","12:00:00 AM","4/7/2012","12:00:00 AM","True","False","4/6/2012","11:45:00 PM"
"Alternate Side Parking Suspended","4/12/2012","12:00:00 AM","4/12/2012","12:00:00 AM","True","False","4/11/2012","11:45:00 PM"
"Alternate Side Parking Suspended","4/6/2012","12:00:00 AM","4/6/2012","12:00:00 AM","True","False","4/5/2012","11:45:00 PM"
"Alternate Side Parking Suspended","3/8/2012","12:00:00 AM","3/8/2012","12:00:00 AM","True","False","3/7/2012","11:45:00 PM"
"Alternate Side Parking Suspended","4/5/2012","12:00:00 AM","4/5/2012","12:00:00 AM","True","False","4/4/2012","11:45:00 PM"
"Alternate Side Parking Suspended","2/22/2012","12:00:00 AM","2/22/2012","12:00:00 AM","True","False","2/21/2012","11:45:00 PM"
"Alternate Side Parking Suspended","2/13/2012","12:00:00 AM","2/13/2012","12:00:00 AM","True","False","2/12/2012","11:45:00 PM"
"Alternate Side Parking Suspended","2/20/2012","12:00:00 AM","2/20/2012","12:00:00 AM","True","False","2/19/2012","11:45:00 PM"
"Alternate Side Parking Suspended","1/23/2012","12:00:00 AM","1/23/2012","12:00:00 AM","True","False","1/22/2012","11:45:00 PM"
"Alternate Side Parking Suspended","1/16/2012","12:00:00 AM","1/16/2012","12:00:00 AM","True","False","1/15/2012","11:45:00 PM"
"Alternate Side Parking Suspended","1/2/2012","12:00:00 AM","1/2/2012","12:00:00 AM","True","False","1/1/2012","11:45:00 PM"
"Alternate Side Parking Suspended","1/1/2012","12:00:00 AM","1/1/2012","12:00:00 AM","True","False","12/31/2011","11:45:00 PM"
